commodity,importer,exporter,importer_says,importer_kg,exporter_says,exporter_kg,ratio,excess_gap,abs_gap,usd_discrepancy,importer_name,exporter_name
2825,842,156,177799174.0,16836012.0,181520395.0,14496093.506,0.9794997085589198,-0.08883748041030717,0.08883748041030717,17335250.625,USA,China
2825,842,276,49672169.0,4433074.0,35328134.272,3409596.35,1.4060229905593584,0.307928363311031,0.307928363311031,11694424.6576,USA,Germany
2825,842,380,1324503.0,56657.0,1123813.296,42128.0,1.1785792219350997,0.09635276459079055,0.09635276459079055,116403.70680000004,USA,Italy
2825,842,392,14568953.0,1283048.0,16346424.956,1030465.0,0.8912623426355024,-0.17091875103674192,0.17091875103674192,3003453.8277000003,USA,Japan
2825,842,410,52499573.0,3627579.0,30279547.0,3066500.52,1.7338295384670055,0.6128646869460517,0.6128646869460517,19949059.975,USA,Rep. of Korea
2825,842,484,3037528.0,280040.0,2703339.0,0.0,1.1236208259489469,0.045228675301345965,0.045228675301345965,131438.5750000002,USA,Mexico
2825,842,528,1928447.0,122602.399,7415555.368,309894.0,0.2600542918635248,-0.7580890308246281,0.7580890308246281,6043275.020599999,USA,Netherlands
2825,842,699,8639614.0,455602.0,7214651.754,189070.024,1.1975094979754168,0.11396232369806214,0.11396232369806214,883863.3644500002,USA,India
2825,842,704,12443422.0,331848.0,3095230.949,0.0,4.020191774064611,2.739713278199639,2.739713278199639,9116048.729825001,USA,Viet Nam
2825,842,710,33280929.0,899373.0,33951123.738,1892915.0,0.9802600130949457,-0.08813022037679469,0.08813022037679469,3216529.0183499977,USA,South Africa
2825,842,764,3393921.0,750299.0,14556822.217,1345185.0,0.23314985574505762,-0.7831164132604115,0.7831164132604115,12254662.883275,USA,Thailand
2825,842,826,11846171.0,495660.0,14201669.83,934869.919,0.8341393048707428,-0.22405646058535555,0.22405646058535555,3420624.0672500003,USA,United Kingdom
2836,36,156,31314431.867,66448720.27,29934360.0,68523415.0,1.0461032695203771,-0.02688067951592818,0.02688067951592818,865005.1330000013,Australia,China
2836,36,276,1263800.084,845004.5,2104665.307,544664.79,0.6004755624548336,-0.4414180814373641,0.4414180814373641,998715.121025,Australia,Germany
2836,36,410,5511797.045,4825985.2,5545356.0,5284453.545,0.9939482776218515,-0.0753969510494405,0.0753969510494405,449460.65500000026,Australia,Rep. of Korea
2836,36,699,1296164.211,1549859.4,1198267.565,531771.0,1.0816984860973016,0.006231149857955087,0.006231149857955087,8026.578625000082,Australia,India
2836,36,702,3443894.451,6172667.0,3139789.513,5947000.0,1.0968551989682374,0.02033041764487207,0.02033041764487207,68620.72452500043,Australia,Singapore
